,rated,turns,victory_status,winner,increment_code,white_rating,black_rating,moves,opening_eco,opening_name,opening_ply,EstDur,Event,RatingDiff
12726,True,53,resign,white,10+0,1648,1565,e4 e5 Nf3 Nc6 Bc4 Nf6 d3 Bc5 O-O O-O h3 d5 Bb3 dxe4 Ng5 Nd5 Nxe4 Bb6 Bg5 Nf6 Bxf6 gxf6 Qh5 Bd4 Nbc3 f5 Ng5 Qxg5 Qxg5+ Kh8 Rab1 f4 Ne4 Rg8 Qf6+ Rg7 Bxf7 Bxh3 c3 Rf8 Rfe1 Rxf7 Qh4 Rxg2+ Kh1 Rfg7 Qxh3 Rg1+ Rxg1 Rxg1+ Rxg1 Bxf2 Nxf2,C50,Italian Game: Giuoco Pianissimo |  Normal,8,600,Rapid,83
14708,True,34,mate,black,15+0,918,1188,f3 e5 e4 Nf6 Bd3 Nc6 Ne2 d5 O-O dxe4 fxe4 Bg4 c3 Bc5+ Kh1 O-O b4 Bb6 b5 Nd4 cxd4 Bxd4 Nxd4 Bxd1 Rxf6 Qxf6 Nc3 Rad8 Nxd1 Rxd4 Bb2 Rxd3 Bxe5 Qf1#,C20,King's Pawn Game: King's Head Opening #2,3,900,Rapid,-270
15254,True,47,resign,black,10+0,1759,1934,e4 c5 Nf3 d6 d4 cxd4 Nxd4 Nf6 Nc3 g6 Be3 Bg7 Be2 O-O f4 a6 Bf3 Nc6 Qd2 Bd7 Nde2 Ng4 Bg1 f5 Qd5+ Kh8 O-O-O Nf6 Qb3 fxe4 Nxe4 Nxe4 Bxe4 Na5 Qg3 Nc4 c3 Qa5 Kb1 Qb5 b3 Na3+ Kb2 Qxe2+ Kxa3 Qxd1 Qg5,B72,Sicilian Defense: Dragon |  Classical Attack,13,600,Rapid,-175
11833,True,37,resign,white,10+0,1355,2052,e4 e6 Nc3 d5 exd5 exd5 d4 Bb4 Bd3 Nc6 Nf3 Nf6 O-O O-O Bg5 h6 Bxf6 Qxf6 Nxd5 Qd6 Ne3 Qd8 c3 Bd6 Re1 b6 Be4 Bb7 Nd2 Qh4 g3 Qd8 Qf3 Qd7 Nf5 Rab8 Qg4,C00,French Defense: Queen's Knight,3,600,Rapid,-697
1631,False,7,mate,white,7+2,1500,1238,e4 e5 Bc4 Na6 Qf3 b6 Qxf7#,C23,Bishop's Opening,3,500,Rapid,262
19219,False,34,resign,black,20+0,1474,1387,e4 d5 f3 dxe4 fxe4 e5 Nf3 Nc6 d3 Bg4 h3 Bh5 Nbd2 Nd4 g4 Nxf3+ Qxf3 Bg6 b3 Bb4 a3 Bc3 Ra2 Ne7 Be2 Nc6 Qg3 Nd4 Qxe5+ Qe7 Qxe7+ Kxe7 Bf3 Nxf3+,B01,Scandinavian Defense,2,1200,Rapid,87
7089,True,59,mate,white,20+0,1745,1598,e4 e5 Nf3 Nc6 Nc3 Bc5 a3 d6 h3 Nf6 Bb5 O-O Bxc6 bxc6 d4 exd4 Nxd4 h6 O-O Bb7 Re1 Bb6 Nf3 c5 Nd5 Nxd5 exd5 Qf6 c4 c6 Be3 cxd5 cxd5 Rae8 Qd2 Kh8 Rac1 Rc8 Rc4 g5 Rg4 Rg8 h4 gxh4 Rxh4 Rg6 Bxh6 Rxg2+ Kxg2 Rg8+ Ng5 Rg6 Re8+ Rg8 Bf8+ Qh6 Qc3+ Rg7 Qxg7#,C46,Three Knights Opening,5,1200,Rapid,147
3723,True,125,outoftime,white,10+0,1192,1153,e4 Nf6 Nc3 e5 b3 g6 g3 Bg7 Bg2 O-O Nf3 Nc6 O-O d5 d4 dxe4 dxe5 Nxe5 Nxe5 Ng4 Nxg4 Bxg4 Qxg4 c5 Qxe4 Bxc3 Rb1 Re8 Qc4 Bd4 h4 Qd7 Be3 Rad8 Rbd1 b5 Qd5 b4 Bxd4 cxd4 Rxd4 Qc8 Qc4 a5 Bd5 Qh3 Bxf7+ Kg7 Bxe8 Rxe8 Rd7+ Kh6 f4 Qxg3+ Kh1 Qxh4+ Kg2 Qg4+ Kf2 Qh4+ Kf3 Qh3+ Kf2 Qxd7 Rh1+ Kg7 Qc3+ Kg8 Qc4+ Kg7 Qc5 Qd2+ Kg3 Re3+ Kg4 Qg2+ Kh4 Qxh1+ Kg4 Qg1+ Kh4 Qe1+ Kg4 Rg3+ Kh4 g5+ fxg5 Qe6 Qc7+ Kg6 Qxg3 Qe4+ Kh3 Qxc2 Qd6+ Kxg5 Qd5+ Kf6 Qxa5 Qe4 Qb6+ Kf5 a4 h5 Qf2+ Kg5 Qg2+ Qg4+ Qxg4+ hxg4+ Kg3 Kf6 a5 Ke7 a6 Kd8 a7 Kc7 a8=Q Kb6 Qb8+ Kc5 Qg8 Kd4 Qc4+,C26,Vienna Game: Falkbeer Variation,4,600,Rapid,39
2324,True,53,resign,white,15+15,2065,1879,e4 d6 d4 g6 Nf3 Bg7 c4 Nc6 d5 Ne5 Be2 Bg4 Nxe5 Bxe2 Qa4+ c6 dxc6 b5 Qxb5 dxe5 c7+ Qd7 Qxd7+ Kxd7 Kxe2 Kxc7 Nc3 Nf6 b3 e6 Bg5 Nd7 Rhd1 f6 Nb5+ Kc8 Be3 a6 Nc3 f5 Rd6 f4 Rad1 Rd8 Bb6 Bf8 R6d3 Nxb6 Rxd8+ Kb7 Rxa8 Kxa8 Rd8+,B07,Pirc Defense #5,3,1500,Classical,186
11621,False,42,resign,black,13+3,1562,2207,d4 Nf6 Nc3 d6 Bf4 Bf5 Nb5 c6 Nc3 Nbd7 Nf3 h6 h3 Qb6 g4 Bh7 g5 hxg5 Nxg5 Qxb2 Bd2 Qxc2 Qxc2 Bxc2 e4 d5 exd5 Nxd5 Bg2 N7b6 Rc1 Bf5 Nxd5 Nxd5 Bxd5 cxd5 Rc5 f6 Nf3 b6 Rxd5 Be4,A45,Indian Game,2,900,Rapid,-645
5511,True,104,draw,draw,10+13,1813,1850,d4 f5 Bf4 e6 e3 d5 Nf3 Bd6 Ne5 Nf6 Nd2 O-O Ndf3 Nbd7 h3 Ne4 Bd3 Qf6 Nxd7 Bxd7 Be5 Bxe5 Nxe5 Be8 c4 c6 cxd5 exd5 Bxe4 fxe4 O-O Qg5 f3 exf3 Rxf3 Bh5 Rxf8+ Rxf8 Qd2 Bg6 Rf1 Rxf1+ Kxf1 Be4 Qf2 Qf5 a3 Bd3+ Kg1 Qxf2+ Kxf2 Be4 Nd7 b6 Ne5 c5 dxc5 bxc5 Nc6 a6 Nb8 a5 Nc6 a4 Ne5 g6 h4 Kg7 g4 d4 exd4 cxd4 g5 h6 Ke2 hxg5 hxg5 Kf8 Nf3 Ke7 Nxd4 Kd6 Ke3 Ke5 b3 axb3 Nxb3 Bc6 Nd4 Ba4 Nf3+ Kf5 Kd4 Kf4 Ne5 Kxg5 Nxg6 Kxg6 Kc4 Kf6 Kb4 Bd1 a4 Bxa4,A80,Dutch Defense,2,1120,Rapid,-37
8958,True,56,resign,black,10+0,1765,1622,Nf3 c5 d4 cxd4 Nxd4 Nc6 Nc3 e6 e3 a6 Bc4 d5 Bb3 Nf6 O-O Bd6 f4 O-O Nxc6 bxc6 e4 dxe4 Re1 Bc5+ Be3 Bb4 Bd4 Bxc3 Bxc3 Bb7 Bxf6 Qxf6 Rxe4 c5 Rc4 Bd5 Rxc5 Bxb3 cxb3 Qxf4 Rc4 Qe3+ Kh1 Rfd8 Qf3 Qxf3 gxf3 Rd3 Rac1 g6 Kg2 Rd2+ Kg3 Rxb2 a4 Rxb3,A00,Van Geet Opening: Sicilian Two Knights,7,600,Rapid,143
3616,True,101,mate,white,10+0,1908,1498,e4 e5 Nf3 Nc6 Bb5 Nf6 Bxc6 dxc6 Nc3 Bc5 O-O Bg4 d3 Qd7 Nxe5 Qe6 Nxg4 Nxg4 d4 Bd6 e5 Be7 h3 h5 hxg4 hxg4 f3 g3 Ne4 Qg6 Bf4 Bh4 Qe1 f5 Bxg3 fxe4 Bxh4 exf3 Rxf3 Qxc2 Qf2 Qxf2+ Bxf2 O-O-O Rc1 Kb8 g4 b6 b4 g6 Kg2 Kb7 Rh3 Rhf8 Rh6 g5 Rg6 Rf4 Rxg5 Rdf8 Rc2 Ka6 a4 b5 a5 c5 dxc5 Rxb4 Rf5 Rxf5 gxf5 Kxa5 Be1 Ka4 Bxb4 Kxb4 f6 Kb3 Rc1 Kb2 Rf1 Kc2 f7 b4 f8=Q b3 e6 b2 Rf2+ Kb3 Rxb2+ Kxb2 e7 a5 e8=Q a4 Qe3 a3 Qff2+ Ka1 Qee1#,C65,Ruy Lopez: Berlin Defense #2,6,600,Rapid,410
15552,True,57,resign,white,10+0,1698,1293,e4 e5 Nf3 Nc6 Bb5 f6 d4 exd4 Bxc6 Qe7 Ba4 Qxe4+ Qe2 f5 Nxd4 Qxe2+ Nxe2 Nf6 O-O b6 Re1 Bb7 Nd4+ Be4 f3 c5 Nxf5 O-O-O fxe4 Re8 Bf4 Rxe4 Rxe4 Nxe4 Bb5 Kb7 Bxd7 c4 Na3 Bc5+ Be3 Rd8 Rd1 g6 Bxc5 Nxc5 Bc6+ Kxc6 Rxd8 Ne6 Ne7+ Kc7 Ra8 Kd7 Rxa7+ Ke8 Nb5,C60,Ruy Lopez: Nuernberg Variation,6,600,Rapid,405
20030,True,82,resign,black,15+15,1876,1879,e4 c5 Nf3 g6 d4 cxd4 Nxd4 Bg7 Be3 Nf6 Bd3 O-O O-O d6 h3 Bd7 f4 Nc6 Nf3 Re8 c3 a6 Nbd2 Qc8 e5 dxe5 fxe5 Nh5 Nc4 Bxh3 Nb6 Qg4 Rf2 Nxe5 Be2 Ng3 Nxe5 Nxe2+ Qxe2 Bxe5 Rf3 Rad8 Qf2 Bxg2 Qxg2 Qe4 Qf2 f5 Re1 Qg4+ Kf1 Bf6 Ke2 e5 Rg1 Qe4 Rxf5 Qc2+ Kf3 Qxf5+ Kg2 Qe4+ Qf3 Qxf3+ Kxf3 e4+ Ke2 Kf7 Nc4 Kg7 Nd2 Rd3 Nxe4 Rd7 Kf3 Rf7 Nxf6 Rxf6+ Bf4 Ref8 Rg4 h5,A42,Sicilian Defense: Hyperaccelerated Fianchetto,5,1500,Classical,-3
6377,True,50,resign,black,10+0,1478,1560,e4 e5 Nf3 Nf6 Nxe5 d6 Nf3 Nxe4 Qe2 d5 c4 Bf5 Nc3 Bd6 Nh4 Be6 cxd5 Nxc3 dxc3 Qxh4 dxe6 fxe6 Qxe6+ Qe7 Qxe7+ Bxe7 Be3 Nd7 O-O-O O-O-O Bxa7 Bg5+ Kb1 Nb6 Rxd8+ Rxd8 Bb5 Nd5 Rd1 c6 Bc4 Nxc3+ bxc3 Rxd1+ Kc2 Rd2+ Kc1 Rd4+ f4 Bxf4+,C42,Russian Game: Cozio (Lasker) Attack,9,600,Rapid,-82
17816,True,7,resign,white,10+0,1500,1213,e4 e5 Qh5 g6 Qxe5+ Be7 Qxh8,C20,King's Pawn Game: Wayward Queen Attack,3,600,Rapid,287
3221,False,40,resign,black,10+0,1480,1490,e4 e5 Nf3 Nf6 Nc3 Nc6 Bc4 Bc5 h3 h6 a3 d6 b4 Bb6 Nd5 Nxe4 Nxb6 axb6 O-O O-O d4 exd4 Nxd4 Nxd4 Qxd4 Re8 Bb2 Qg5 Rae1 Bxh3 g3 Bxf1 Kxf1 Nf6 Bxf7+ Kxf7 Qc4+ Nd5 Kg2 Rxe1,C50,Four Knights Game: Italian Variation,8,600,Rapid,-10
8271,True,82,resign,black,10+0,1951,2109,d4 Nf6 Nf3 e6 g3 b6 Bg2 Bb7 O-O Be7 c4 d6 Nc3 a6 e4 Nbd7 Re1 O-O e5 dxe5 dxe5 Ng4 h3 Ngxe5 Nxe5 Bxg2 Nxd7 Bf3 Qxf3 Qxd7 Bf4 c5 Kg2 Bf6 Rad1 Qc8 b3 Rd8 Ne4 Bd4 Be3 e5 Qh5 g6 Qg4 f5 Nf6+ Kf7 Qg5 h6 Qxh6 Bxe3 Rxd8 Qb7+ Nd5 Bxh6 Rd6 Bg7 f3 b5 Rd1 bxc4 Nb6 Kg8 Nxa8 cxb3 axb3 Qxb3 Nc7 e4 Rd8+ Kh7 fxe4 fxe4 R8d7 Qf3+ Kh2 Kh6 Nxa6 Bd4 Nb4 Qxd1,E17,Queen's Indian Defense: Classical Variation,11,600,Rapid,-158
1971,True,26,mate,black,10+0,1185,1171,e3 d6 d3 Nc6 Be2 Nf6 Bd2 Bd7 Nf3 e5 Nc3 Qe7 O-O Ng4 Rb1 O-O-O h3 h5 hxg4 hxg4 Ne1 Qh4 f3 g3 Rc1 Qh2#,A00,Van't Kruijs Opening,1,600,Rapid,14
17542,True,48,mate,black,15+5,1607,1543,d4 c6 e4 d5 e5 Bf5 h3 e6 Nf3 c5 c3 Ne7 Bg5 Qb6 Qc1 Nbc6 Be3 Be4 Nbd2 Bf5 Nh4 Rc8 Nxf5 Nxf5 Bf4 cxd4 cxd4 Qxd4 Nf3 Bb4+ Bd2 Qe4+ Be2 O-O Bxb4 Nfd4 Nxd4 Nxd4 Qd1 Qxg2 Rf1 Nc2+ Kd2 Qe4 Bxf8 Qf4+ Kd3 Qd4#,B12,Caro-Kann Defense: Advance Variation,5,1100,Rapid,64
8804,True,52,resign,black,5+5,1556,1588,e4 e6 d4 c5 c3 Nf6 e5 Nd5 Ne2 Be7 Nd2 O-O Ne4 b6 Be3 Bb7 c4 Nb4 Nd6 Bc6 a3 N4a6 Nf4 Nc7 f3 Ne8 Bd3 Nxd6 exd6 Bxd6 Bxh7+ Kxh7 Qd3+ Kg8 O-O-O Qf6 g3 Bxf3 Rdf1 Bxh1 Rxh1 Bxf4 gxf4 cxd4 Bxd4 Qxf4+ Kd1 Qg4+ Kd2 Qg2+ Kc3 Qxh1,C00,Queen's Pawn Game: Franco-Sicilian Defense,4,500,Rapid,-32
14910,False,23,mate,white,15+5,1443,1500,e4 e5 Nf3 Nc6 d4 Bb4+ Nc3 Nf6 dxe5 Nh5 Bg5 f6 exf6 gxf6 Bh4 a5 e5 Nxe5 Nxe5 d6 Qxh5+ Ke7 Qf7#,C44,Scotch Game,5,1100,Rapid,-57
16387,True,101,mate,white,30+10,1543,1448,c4 e5 g3 Nf6 Bg2 d5 cxd5 Nxd5 Nc3 Be6 d4 Nxc3 bxc3 c6 Bb2 f6 Nf3 Nd7 O-O Bd6 e4 O-O Re1 Bg4 h3 Be6 d5 cxd5 exd5 Bf7 Nh4 Qb6 Rb1 Bc5 Qc2 Qd6 c4 g6 Qe4 Rfe8 Qg4 a6 Nf5 Qb6 Ba3 Bxf2+ Kf1 Qa7 Nh6+ Kg7 Nxf7 Bxe1 Rxe1 Kxf7 Qxd7+ Re7 Qg4 Rc7 Qe6+ Kg7 d6 Rxc4 d7 Rc2 Qe7+ Kh6 Qxf6 Rd8 Bc1+ Rxc1 Rxc1 Rxd7 Qxe5 Qd4 Qxd4 Rxd4 Bxb7 Rd3 Bxa6 Rxg3 Bc8 Kh5 a4 g5 a5 g4 hxg4+ Rxg4 Bxg4+ Kxg4 a6 h5 a7 Kh3 a8=Q Kh4 Qg8 Kh3 Rc3+ Kh4 Qg3#,A20,English Opening: King's English Variation,2,2200,Classical,95
3373,True,83,resign,white,10+0,1806,1728,d4 Nf6 Nf3 c6 e3 d5 c4 Bf5 cxd5 cxd5 Nc3 e6 Bb5+ Nc6 Bxc6+ bxc6 O-O Bd6 Qa4 Qc7 Ne5 Bxe5 dxe5 Ne4 Nxe4 Bxe4 f4 O-O Bd2 a5 Rac1 Rfc8 Rc5 Qb7 b3 h6 Rfc1 Ra6 Rxa5 Bd3 Rxa6 Qxa6 Qxa6 Bxa6 a4 Kf8 b4 Ke8 b5 Bb7 b6 Kd7 a5 Ra8 Ra1 Ra6 Bb4 g6 g4 Ra8 h4 Ra6 h5 gxh5 gxh5 Ra8 Kf2 Ra6 Bf8 Ra8 Bxh6 Ba6 Bg7 Rg8 h6 Ke7 h7 Rxg7 h8=Q Rg6 b7 Bxb7 a6,D12,Slav Defense: Exchange Variation |  Schallopp Variation,11,600,Rapid,78
7615,True,112,mate,black,10+0,1587,1604,e4 e6 Nf3 d5 exd5 exd5 Qe2+ Be7 b3 Nf6 Bb2 Nbd7 Bxf6 Nxf6 Nc3 O-O O-O-O Re8 Qd3 c6 Ne5 Ba3+ Kb1 Rxe5 f4 Bf5 Qg3 Ne4 Nxe4 Rxe4 Bd3 Qf6 c3 Re7 Rde1 Bxd3+ Qxd3 Rae8 Rxe7 Rxe7 g3 Bc5 b4 Bb6 a4 a6 Rf1 Qe6 Kb2 Qe4 Kc2 Qxd3+ Kxd3 g6 c4 dxc4+ Kxc4 Re4+ Kc3 a5 bxa5 Bxa5+ Kd3 Rxa4 Rb1 b5 Rc1 Rc4 Rxc4 bxc4+ Kxc4 Bxd2 Kc5 Be3+ Kxc6 Bg1 h3 Bh2 g4 Bxf4 Kd5 h5 Ke4 Bc7 Kf3 hxg4+ Kxg4 Kg7 Kf3 f5 Ke3 Kh6 Kf3 Kh5 Kg2 Kh4 Kf3 Kxh3 Kf2 f4 Kg1 Kg3 Kh1 Kf2 Kh2 Ke2 Kg2 f3+ Kg1 f2+ Kg2 f1=Q#,C00,French Defense: Knight Variation,3,600,Rapid,-17
11888,True,54,resign,black,10+0,2211,2109,Nf3 g6 d4 d6 e4 Bg7 Nc3 Nc6 Be3 Nf6 Qd2 Ng4 Bg5 h6 Bh4 g5 Bg3 Nf6 O-O-O Nh5 Bc4 g4 Nh4 Nxg3 hxg3 Nxd4 Nd5 c6 Nf4 b5 Bb3 a5 c3 Nxb3+ axb3 a4 bxa4 Rxa4 Nf5 Bxf5 exf5 Qa5 Rhe1 b4 Qxd6 Ra1+ Kc2 Qa4+ b3 Qa2+ Kd3 Rxd1+ Rxd1 exd6,B06,Modern Defense: Two Knights Variation,7,600,Rapid,102
341,True,64,resign,black,10+0,1647,1635,e4 c5 Nf3 d6 Nc3 a6 d4 cxd4 Nxd4 Nf6 Bg5 e6 f4 h6 Bh4 Be7 e5 Nd5 Bxe7 Qxe7 exd6 Qxd6 f5 Nxc3 bxc3 Nc6 fxe6 Nxd4 cxd4 Bxe6 Be2 O-O O-O Rad8 c3 Rc8 Qd3 b5 Bd1 Bc4 Qe4 Bxf1 Bc2 g6 Rxf1 Rfe8 Qd3 Qc6 Rf3 b4 Bb3 Re7 cxb4 Qc1+ Rf1 Qe3+ Qxe3 Rxe3 Rxf7 Kh8 Ra7 Re2 Rxa6 Rc1+,B96,Sicilian Defense: Najdorf Variation,13,600,Rapid,12
218,True,40,mate,black,15+1,1560,1270,d4 d5 c4 Nc6 Nc3 Nf6 e3 e6 Nf3 Bb4 Bd2 Bxc3 Bxc3 dxc4 Bxc4 Ne4 O-O Nxc3 bxc3 O-O Ne5 Nxe5 dxe5 Bd7 Qf3 Bc6 Qg4 b5 Bd3 Qxd3 Rac1 Qd5 Rfd1 Qxa2 f4 a5 f5 exf5 Qxf5 Qxg2#,D07,Queen's Gambit Refused: Chigorin Defense #2,5,940,Rapid,290
484,True,29,outoftime,white,5+5,1699,1497,c4 c6 e3 e6 d4 a5 Qf3 Qf6 Nc3 e5 Ne4 Qe6 Nh3 f6 Bd3 exd4 exd4 d5 O-O dxe4 Bxe4 Ne7 Bf4 Qxc4 Rac1 Qe6 Rfe1 Qg4 Qb3,A11,English Opening: Caro-Kann Defensive System,2,500,Rapid,202
10289,True,66,resign,black,10+20,2037,1734,e4 c5 Nf3 d6 d4 cxd4 Nxd4 g6 c4 Nc6 Nc3 Bg7 Be3 Nf6 f3 Bd7 Qd2 O-O O-O-O Rc8 Kb1 a5 g4 Ne5 h4 Nxc4 Bxc4 Rxc4 h5 a4 hxg6 fxg6 Qh2 Rxc3 bxc3 Qa5 Qb2 Rc8 Ne2 Be6 Qxb7 Rc7 Qb8+ Rc8 Qb7 Rc7 Qb4 Qa6 Qb8+ Rc8 Qb2 Nd7 Ka1 Rb8 Qd2 Qxe2 Bd4 Bxd4 cxd4 Qxf3 d5 Bxg4 Rdf1 Qxe4 Qc3 Qe5,B34,Sicilian Defense: Accelerated Dragon,8,1400,Rapid,303
7911,True,27,mate,white,10+0,2084,1517,d4 d5 c4 e6 Nf3 Nf6 g3 Be7 Bg2 c6 O-O O-O Nbd2 b6 Qc2 Bb7 e4 dxe4 Nxe4 Nxe4 Qxe4 Qc7 Bf4 Bd6 Ng5 Bxf4 Qxh7#,E06,Catalan Opening: Closed Variation,9,600,Rapid,567
3940,True,38,mate,black,15+1,1210,2026,d4 d5 Bg5 h6 Bf4 Nf6 e3 Bf5 Bb5+ c6 Ba4 e6 Bxb8 Rxb8 Nf3 Bd6 O-O O-O Kh1 Bg4 g3 Ne4 Nc3 Qf6 Nxe4 dxe4 h3 Bxf3+ Kh2 Bxd1 Raxd1 Qh4 Rg1 f5 Kh1 Qh5 g4 Qxh3#,D00,Queen's Pawn Game: Levitsky Attack,3,940,Rapid,-816
16827,True,43,resign,white,10+5,1407,1620,e4 d5 exd5 Nf6 c4 e5 Nc3 Bb4 Qa4+ Bd7 Qxb4 e4 Qxb7 c6 Qxa8 cxd5 Nxd5 Qa5 Nxf6+ gxf6 Qxe4+ Kf8 Bd3 Kg7 Nf3 Re8 Qxe8 Bxe8 O-O Bc6 Bc2 Qb4 d3 Nd7 Nd4 Ba8 Nf5+ Kg6 Nh4+ Kg7 b3 Qe7 Nf5+,B01,Scandinavian Defense: Modern Variation #2,4,800,Rapid,-213
